Order name,Species name,#EST
Diplura,Catajapyx aquilonaris,0
Collembola,Orchesella cincta,1146
Blattodea,Blattella germanica,8322
Phthiraptera,Pediculus humanus corporis,1127
Plecoptera,Isoperla grammatica,0
Plecoptera,Amphinemura sulcicollis,0
Trichoptera,Limnephilus lunatus,0
Thysanoptera,Frankliniella occidentalis,13839
Strepsiptera,Mengenilla moldrzyki,0
Ephemeroptera,Ephemera danica,0
Ephemeroptera,Baetis rhodani,0
Hemiptera,Acyrthosiphon pisum,214834
Hymenoptera,Apis mellifera,169511
Diptera,Drosophila melanogaster,821005
Lepidoptera,Bombyx mori,568825
Coleoptera,Dendroctonus ponderosae,185437
Phasmatodea,Timema cristinae,0
Orthoptera,Locusta migratoria,45709
Odonata,Ladona fulva,0
